Year,UrbanPopulation,RuralPopulation,TotalPopulation,,,,
1962,5330493,29352914,34683407,,,,
1963,5613232,30107985,35721217,,,,
1964,5908339,30871660,36779999,,,,
1965,6216818,31642133,37858951,,,,
1966,6538719,32419329,38958048,,,,
1967,6873713,33199235,40072948,,,,
1968,7220826,33972775,41193601,,,,
1969,7577633,34729513,42307146,,,,
1970,7943077,35461716,43404793,,,,
1971,8183283,36300752,44484035,,,,
1972,8422825,37125654,45548479,,,,
1973,8662663,37940862,46603525,,,,
1974,8904815,38752746,47657561,,,,
1975,9150250,39567939,48718189,,,,
1976,9399461,40385821,49785282,,,,
1977,9652431,41208731,50861162,,,,
1978,9911702,42047313,51959015,,,,
1979,10181044,42914364,53095408,,,,
1980,10447627,43834219,54281846,,,,
1981,10720898,44801905,55522803,,,,
1982,11006067,45808239,56814306,,,,
1983,11301138,46847246,58148384,,,,
1984,11603770,47908849,59512619,,,,
1985,11912008,48984713,60896721,,,,
1986,12225169,50068687,62293856,,,,
1987,12541644,51160328,63701972,,,,
1988,12862589,52257850,65120439,,,,
1989,13237507,53312727,66550234,,,,
1990,13772504,54216358,67988862,,,,
1991,14324149,55112805,69436954,,,,
1992,14889784,55993697,70883481,,,,
1993,15462867,56837441,72300308,,,,
1994,16036816,57614402,73651218,,,,
1995,16604653,58305808,74910461,,,,
1996,17163390,58905353,76068743,,,,
1997,17713643,59419571,77133214,,,,
1998,18256423,59859287,78115710,,,,
1999,18823973,60211898,79035871,,,,
2000,19477364,60433048,79910412,,,,
2001,20134757,60607742,80742499,,,,
2002,20800243,60734164,81534407,,,,
2003,21474148,60827508,82301656,,,,
2004,22163653,60899168,83062821,,,,
2005,22870388,60962273,83832661,,,,
2006,23598140,61019400,84617540,,,,
2007,24348000,61071591,85419591,,,,
2008,25120981,61122432,86243413,,,,
2009,25920396,61171856,87092252,,,,
2010,26757120,61210531,87967651,,,,
2011,27621281,61250280,88871561,,,,
2012,28514086,61288401,89802487,,,,
2013,29430443,61323029,90753472,,,,
2014,30371288,61343307,91714595,,,,
2015,31333193,61343883,92677076,,,,
2016,32314724,61324000,93638724,,,,
2017,33310316,61286326,94596642,,,,
2018,34317154,61223241,95540395,,,,
2019,35332140,61129966,96208984,,,,
